Title,Price,Image
Amazon Basics Papel higiénico de 2 capas. 30 rollos = 120 rollos regulares. 350 hojas. (paquete de 30). sin perfume,US$25.21,https://m.media-amazon.com/images/I/61ATL4GoqkL._AC_UL320_.jpg
Amazon Basics Paquete de 48 pilas alcalinas AA de alto rendimiento. 1.5 voltios. 10 años de vida útil,US$14.97,https://m.media-amazon.com/images/I/81rzA8nS6FL._AC_UL320_.jpg
Amazon Basics Toallas de papel de hojas flexibles de 2 capas. 12 rollos básicos = 32 rollos regulares. valor diario con 150 hojas por rollo,US$22.86,https://m.media-amazon.com/images/I/61POocZniqL._AC_UL320_.jpg
Amazon Basics Papel para impresora multiusos. 8.5 x 11 pulgadas. 20 libras. 8 resmas. 4000 hojas. 92 brillantes. blanco,US$43.99,https://m.media-amazon.com/images/I/71yKhJpWLnS._AC_UL320_.jpg
Amazon Basics Bolsas de basura altas con cordón para cocina. 13 galones. 120 unidades. paquete de 1,US$20.35,https://m.media-amazon.com/images/I/71D7tbndeLL._AC_UL320_.jpg
DIERYA Teclado mecánico 60%. teclado para juegos con cable DK61se con interruptores rojos. retroiluminación LED. ultracompacto. 61 teclas. mini teclado de oficina para Windows. laptop. PC. gamer.,US$20.91,https://m.media-amazon.com/images/I/71Fv67FN5SL._AC_UY218_.jpg
EPOMAKER x Aula F75 - Teclado mecánico con junta. 75% inalámbrico intercambiable en caliente para juegos con acolchado y perilla de cinco capas. Bluetooth/2.4GHz/USB-C. RGB (morado. interruptor LEOBOG,US$79.99,https://m.media-amazon.com/images/I/61u0Ba4LJnL._AC_UY218_.jpg
Amazon Basics Toallitas desinfectantes. aroma a limón y fresco. desinfecta. desinfecta. desinfecta. desodoriza. 340 unidades (4 paquetes de 85),US$13.85,https://m.media-amazon.com/images/I/71S-ty8N11L._AC_UL320_.jpg
Rii RK100+ Teclado multimedia para juegos de PC. teclado de oficina para trabajar o imprimar juegos. dispositivo de oficina para trabajar o imprimar juegos. dispositivo de oficina,US$11.99,https://m.media-amazon.com/images/I/61jhVTLFAEL._AC_UY218_.jpg
Amazon Basics Bolsas de almacenamiento para sándwich. 300 unidades. paquete de 1,US$6.96,https://m.media-amazon.com/images/I/61LmVKypu7L._AC_UL320_.jpg
